#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.28335    -1.28335           0
           2    -1.20431    -1.24383   0.0279428
           3   -0.655273    -1.04764    0.161265
           4   -0.553872   -0.924202    0.161422
           5   -0.473474   -0.834056    0.152242
           6   -0.409399    -0.76328    0.142373
           7   -0.347004   -0.703812    0.133878
           8   -0.402187   -0.666109    0.122337
           9   -0.395989   -0.636096    0.112366
          10    -0.41197   -0.613683     0.10334
          11   -0.353652   -0.590044   0.0966116
          12   -0.298553   -0.565753   0.0915634
          13   -0.292054   -0.544699   0.0869069
          14   -0.181773   -0.518776   0.0844771
          15   -0.319813   -0.505512   0.0798799
          16   -0.306867   -0.493096   0.0758461
          17   -0.322558   -0.483065   0.0720449
          18   -0.396171   -0.478237   0.0682039
          19   -0.413886    -0.47485   0.0646983
          20   -0.372339   -0.469725   0.0616661
