#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.08479     2.08479           0
           2     2.03247     2.05863   0.0184993
           3     1.66654     1.92793    0.107425
           4     1.59906     1.84572    0.107523
           5     1.54552     1.78568    0.101404
           6     1.50285     1.73854    0.094829
           7     1.46126     1.69893   0.0891719
           8     1.49801     1.67381   0.0814853
           9     1.49381     1.65381   0.0748457
          10     1.50448     1.63888   0.0688349
          11     1.46563     1.62313   0.0643538
          12      1.4289     1.60694   0.0609925
          13     1.42469     1.59292   0.0578896
          14     1.35104     1.57565   0.0562738
          15      1.4431     1.56681   0.0532115
          16     1.43453     1.55854   0.0505239
          17     1.44488     1.55186   0.0479922
          18     1.49404     1.54865   0.0454334
          19     1.50579     1.54639   0.0430981
          20     1.47802     1.54297   0.0410785
